id,goodsCode,goodsCodeType,goodsBasicName,goodsBasicType,goodsBasicDesc,goodsMerchantId,merchantName,merchantPersonName,goodsUnit,goodsSize,goodsPrice,goodsGuaranteeLength,useGoodsCount
4609,6.95861E+12,NULL,海希兰时尚压边纯棉化妆棉100片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,袋,1*72,12,5,0
4610,6.95861E+12,NULL,海希兰化妆棉签（竹轴）150支,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*180,9.9,5,0
4611,6.95861E+12,NULL,海希兰化妆棉签（竹轴）300支,1,NULL,86,重庆市展鹿商贸有限公司,NULL,盒,1*96,15,5,0
4612,6.95861E+12,NULL,海希兰环保分装瓶,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*420,9.9,5,0
3481,6.93392E+12,1,丹姿丝维丽香氛洗发乳（强韧固发）300g,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,3,3481
3482,14.02.26.zp019,1,春夏201903版PVC手提袋,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3482
3483,14.02.26.zp020,1,春夏201903版吸水杯,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3483
3484,14.05.wg4897095010450,NULL,蔬果园婴儿手口湿巾80片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,包,1*24,1,2,3484
3498,14.05.wg001,1,白色体验装,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3498
3499,14.02.09.zp69447504428438,NULL,滋源商超无患子洗护体验装6ml+6ml（中干性）1706,1,NULL,86,重庆市展鹿商贸有限公司,NULL,袋,1*24,1,3,3499
3500,6.92286E+12,1,野菜素颜霜50g,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*48,1,4,0
3501,6.93392E+12,1,丹姿水光白水密码烟酰胺亮白精华液30ml,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*48,1,3,3501
3514,6.92084E+12,1,协和玻尿酸保湿霜220g,1,,86,重庆市展鹿商贸有限公司,NULL,个,30*4,1,3,3514
3515,6.92084E+12,1,协和玻尿酸维E乳100ml,1,,86,重庆市展鹿商贸有限公司,NULL,个,30*4,1,3,3515
3516,14.03.01.wl068,1,丹姿水密码安瓶托盘,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3516
3517,14.01.01.syz053,1,丹姿水光白烟酰胺亮白精华液30ml（试用装）,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,3,3517
3531,6.9365E+12,NULL,欧贝斯海蓝深润保湿精华乳100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,108,3,3531
3532,6.9365E+12,NULL,欧贝斯水凝保湿霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*72,49.8,3,3532
3533,6.9365E+12,NULL,欧贝斯水凝保湿乳液100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*72,48,3,3533
3534,6.9365E+12,NULL,欧贝斯水凝保湿洁面乳120g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*96,28,3,3534
3548,6.9365E+12,NULL,欧贝斯水平衡补水精华霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,78,3,3548
3549,6.9365E+12,NULL,欧贝斯水平衡保湿精华霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,73.8,3,3549
3550,6.9365E+12,NULL,欧贝斯水平衡补水润肤乳液100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,74.8,3,3550
3551,6.9365E+12,NULL,欧贝斯水平衡补水柔肤液130ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,74.8,3,3551
3564,14.02.33.zp009,NULL,欧贝斯海蓝深润保湿晶露20ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*192,1,3,3564
3565,14.02.33.zp010,NULL,欧贝斯海蓝深润保湿精华乳20ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*192,1,3,3565
3566,14.02.33.zp011,NULL,欧贝斯水凝亮颜去死皮膏8g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*384,1,3,3566
3567,14.01.04.syz001,NULL,欧贝斯水平衡补水柔肤液130ml(试用装）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*1,1,3,3567
3568,14.01.04.syz002,NULL,欧贝斯水平衡补水润肤乳液100ml(试用装）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*1,1,3,0
3581,14.03.30.wl003,1,欧贝斯台布,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3581
3582,14.03.30.wl004,1,欧贝斯铁架方堆,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3582
3583,6.9484E+12,1,雨博士无荧光洗衣液1kg,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*18,1,3,3583
3584,14.02.05.zp6972322422539,NULL,韩束聚时光奢养紧致精华水70ml（2019KA）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,8*6,1,3,3584
3598,14.03.06.wl015,1,韩束KA2019BIOG高肌能地堆1米,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3598
3599,14.03.10.wl002,1,2019版霞飞唇膏陈列架（亚克力）,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3599
3600,14.03.10.wl003,1,2019版霞飞唇膏陈列架（雪费版）,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3600
3601,14.02.32.zp001,1,艾美佳手提袋（布）,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*1,1,3,3601
3615,6.95532E+12,NULL,云南中药祛渍增白牙膏110g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,110g*72,22.9,3,3615
3616,6.95532E+12,NULL,云南中药舒齿美白牙膏180g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,180g*48,29.9,3,3616
3617,6.95532E+12,NULL,云南中药预防肿痛牙膏180g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,180g*48,35.9,3,3617
3618,6.95532E+12,NULL,云南中药清爽去口气牙膏180g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,180g*48,35.9,3,3618
3631,6.97126E+12,NULL,U乐U悦南京洁士达成人牙刷1159,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,5*12盒*12套,26.8,5,3631
3632,6.97126E+12,1,U乐U悦南京杰士达成人牙刷7786,1,,86,重庆市展鹿商贸有限公司,NULL,支,12盒*24支,1,5,3632
3633,6.97126E+12,1,U乐U悦南京杰士达成人牙刷7212,1,,86,重庆市展鹿商贸有限公司,NULL,支,12盒*24套,1,5,3633
3634,6.97126E+12,1,U乐U悦南京杰士达成人牙刷7243,1,,86,重庆市展鹿商贸有限公司,NULL,支,3*12盒*12套,1,5,3634
1038,6.92498E+12,NULL,小浣熊源森态水嫩嫩果C苹果保湿霜30g+唇膏,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*60,1,3,1038
1040,6.92498E+12,NULL,小浣熊源森态鲜果防冻嫩肤霜80g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*60,1,3,1040
1045,6.92498E+12,NULL,小浣熊源森态儿童健齿护龈牙膏（香橙）45g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*72,1,5,1045
