id,storeName,storeAddress,storeCreatetime,storeUpdatetime,storePhone,storeDesc,storeArea,storeOrg,storePersonName,distributeType,channel,merchantName
784,成都亨亦达（丽纯）,成都市双流县九江镇大井社区二组朋成物流园内,37:30.6,15:49.7,13540256285,,NULL,分销客户,胡金平,2,,NULL
785,潼南戴小莉,潼南区卧佛镇太平街154号,32:01.9,31:39.5,18203040695,,NULL,零售客户,戴小莉,2,中铁物流,NULL
786,王双庆,,07:42.1,NULL,13882836242,,NULL,王双庆,王双庆,2,,NULL
787,佛山市怡爽卫生用品有限公司赖永洪,佛山市狮山镇罗村下柏王芝围工业区,12:02.3,06:38.3,0757-88572223,,NULL,厂家,赖永洪,2,,NULL
788,陕西汉中杨露,陕西省汉中市西乡县廊桥大润发超市,16:45.2,20:49.1,18113987458,,NULL,分销客户,杨露,2,,NULL
789,四川和麦贺达商贸有限公司（黄总）,成都市郫都区永兴东路9号新希望乳业,43:54.3,NULL,13982213858,,NULL,零售客户,唐春梅,2,,NULL
790,重百万盛店,重庆市万盛区万盛国能天街新世纪超市,19:29.1,27:08.5,18723075125,【重百】重庆商社新世纪百货连锁经营有限公司万盛店,NULL,重庆新世纪,霍加会,2,天天快递,NULL
791,四川德阳方娜,四川省德阳市汉江路187号921仓库,54:31.5,18:10.5,13981001523,,NULL,零售客户,陈毓,2,,NULL
792,沙坪坝区新世纪沙滨路店,重庆沙坪坝区沙滨路11号肿瘤医院附近,50:10.2,59:32.2,15123970507,重庆商社新世纪百货连锁经营有限公司沙滨路店,NULL,新世纪,谭功会,1,,NULL
793,乐山鑫佰商贸有限公司（帅静）,乐山市市中区牟子镇马边河村52号,29:43.3,32:23.7,18981302789,,NULL,分销客户,帅静,2,荣泽物流,NULL
794,重庆依生堂贸易有限公司（叶庆霞）,,43:27.9,NULL,1,,NULL,零售客户,叶庆霞,1,,NULL
795,梁平高传相,,40:43.1,51:43.7,15923413438,,NULL,分销客户,高传相,2,迪丰物流,NULL
796,苟冬梅片区,,39:07.1,42:51.2,1,,NULL,苟冬梅片区,苟冬梅,1,,NULL
797,李良君片区,,40:44.1,46:20.3,0,,NULL,李良君片区,李良君,1,,NULL
798,张玉梅片区,,41:35.1,49:44.2,0,,NULL,张玉梅片区,张玉梅,1,,NULL
799,莫燕片区,,42:36.5,46:10.0,2,,NULL,莫燕片区,莫燕,1,,NULL
800,大足区新世纪海棠人家店,大足区棠香街道人民街33号新世纪超市,00:30.7,59:13.1,19923739904,重庆商社新世纪百货连锁经营有限公司海棠人家店（大足）,NULL,重庆新世纪,赵运凤,2,中铁物流,NULL
801,成都市龙泉万达店,成都市龙泉驿区永安路龙泉万达永辉超市地下收货口,50:41.8,58:39.1,13608232804,四川成都市--龙泉万达广场店,NULL,四川永辉,谭前碧,2,中铁物流,NULL
802,广东汕头美纳斯,广东汕头龙湖区衡山北路第十四街区德源大厦,05:05.1,41:24.6,0754-88847651,,NULL,厂家,陈文生,2,,NULL
803,建鹏,,31:32.5,52:28.4,13618217918,建鹏,NULL,分销客户,建鹏,2,,NULL
805,广安岳池星都会店,四川省广安市岳池县翔凤大道永辉超市,01:50.8,06:33.1,17344397875,四川广安市--岳池星都会店,NULL,四川永辉,姚继英,2,天天快递,NULL
806,巴南区永辉巴南店,巴南中百店,11:56.7,45:14.0,,重庆市渝中区--巴南店,NULL,重庆永辉,111,1,,NULL
807,四川绵阳市--江油宝龙广场店,四川省绵阳市江油市李白大道与大鹏路交汇处永辉超市,00:43.3,58:22.7,13398381181,四川绵阳市--江油宝龙广场店,NULL,四川永辉,徐燕,2,中铁物流,NULL
808,丰泰汇,,45:51.1,NULL,1,,NULL,千金代理商,1,,,NULL
809,吴斌,,43:53.5,22:28.7,18916637135,,NULL,分销客户,吴斌,1,,NULL
811,沙坪坝区永辉沙坪坝万达广场店,,44:12.1,23:01.3,18223036764,重庆沙坪坝区--沙坪坝万达广场店,NULL,重庆永辉,王蓓,1,,NULL
813,渝北区永辉斑竹路店,,53:15.5,56:41.8,1,重庆市渝北区--斑竹路店,NULL,重庆永辉,龙崇霞,1,,NULL
