,库位,,,,,,,分区,仓库,
1913,V-18-04,00:27.0,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1927,U-12-02,11:38.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
1928,U-12-03,11:38.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
1929,U-12-04,11:38.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,0
1930,U-12-05,11:38.4,NULL,NULL,31,NULL,NULL,U区,展鹿主仓库,1930
1943,V-04-03,24:02.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1944,V-04-04,24:02.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1945,V-05-01,24:02.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1945
1946,V-05-02,24:02.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1946
1947,V-05-03,24:02.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1947
1960,v-07-07,27:06.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1960
1961,v-07-08,27:06.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1961
1962,v-07-09,27:06.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1962
1963,v-07-10,27:06.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,1963
1977,V-02-08,35:13.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1978,V-03-08,35:13.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1979,V-03-06,35:13.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1980,V-03-07,35:13.4,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1993,V-06-08,35:13.5,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1994,V-06-09,35:13.6,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1995,V-02-09,35:13.6,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1996,V-03-09,35:13.6,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
1997,W-15-09,46:45.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,1997
2010,v-05-13,55:34.8,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
2011,v-05-14,55:34.8,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
2012,v-05-15,55:34.8,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
2013,v-07-01,55:34.9,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2013
2027,V-08-06,04:58.0,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2027
2028,V-08-07,04:58.0,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2028
2029,V-08-08,04:58.0,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2029
2030,V-08-09,04:58.0,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2030
2044,Y-15-05,22:39.4,,,30,,,Y区,展鹿主仓库,2044
2045,T-05-03,23:05.1,,,23,,,T区,展鹿赠品物料仓库,2045
2046,T-05-02,23:05.1,,,23,,,T区,展鹿赠品物料仓库,2046
2047,T-01-04,23:05.2,,,23,,,T区,展鹿赠品物料仓库,2047
2060,Z-08-03,NULL,,,27,,,Z区,展鹿主仓库,2060
2061,Z-09-01,NULL,,,27,,,Z区,展鹿主仓库,2061
2062,Z-09-02,NULL,,,27,,,Z区,展鹿主仓库,0
2063,Z-09-03,NULL,,,27,,,Z区,展鹿主仓库,0
2077,W-16-13,NULL,,,28,,,W区,展鹿主仓库,2077
2078,W-16-14,NULL,,,28,,,W区,展鹿主仓库,2078
2079,W-16-01,NULL,,,28,,,W区,展鹿主仓库,2079
2080,W-16-02,NULL,,,28,,,W区,展鹿主仓库,0
2094,L-01-01,NULL,,,34,,,L区,展鹿临期品仓库,2094
2095,V-01-01,44:23.7,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2095
2096,X-03-15,11:11.6,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,0
2097,Z-06-07,31:12.7,NULL,NULL,27,NULL,NULL,Z区,展鹿主仓库,2097
2110,V-08-18,54:46.5,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2110
2111,V-08-16,54:46.5,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2111
2112,V-08-15,54:46.5,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2112
2113,V-08-14,54:46.6,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2113
2114,W-14-18,NULL,,,28,,,W区,展鹿主仓库,2114
2127,V-10-01,17:59.1,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
2128,V-11-01,17:59.2,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2128
2129,V-12-01,17:59.2,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2129
2130,V-13-01,17:59.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,2130
2144,Y-01-09,NULL,,,30,,,Y区,展鹿主仓库,2144
2145,Y-03-09,NULL,,,30,,,Y区,展鹿主仓库,2145
2146,Y-03-05,NULL,,,30,,,Y区,展鹿主仓库,2146
2147,Y-03-06,NULL,,,30,,,Y区,展鹿主仓库,2147
2161,Y-13-09,NULL,,,30,,,Y区,展鹿主仓库,2161
2162,Y-08-09,19:40.0,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,2162
2163,Y-10-09,NULL,,,30,,,Y区,展鹿主仓库,2163
2164,Y-15-02,NULL,,,30,,,Y区,展鹿主仓库,2164
2177,Y-17-02,NULL,,,30,,,Y区,展鹿主仓库,2177
2178,Y-17-03,NULL,,,30,,,Y区,展鹿主仓库,2178
2179,Y-17-04,NULL,,,30,,,Y区,展鹿主仓库,2179
2180,Y-17-05,NULL,,,30,,,Y区,展鹿主仓库,2180
2194,Y-18-04,14:09.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,0
2195,Y-18-05,14:09.8,NULL,NULL,30,NULL,NULL,Y区,展鹿主仓库,0
2196,W-08-16,52:15.2,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,2196
2197,Y-09-09,NULL,,,30,,,Y区,展鹿主仓库,2197
2211,T-05-01,NULL,,,23,,,T区,展鹿赠品物料仓库,2211
2212,T-05-04,NULL,,,23,,,T区,展鹿赠品物料仓库,2212
2213,T-05-06,NULL,,,23,,,T区,展鹿赠品物料仓库,2213
2227,W15-8,59:21.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2228,W14-11,59:21.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2229,W14-17,59:21.7,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2230,X2-6,59:21.7,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,0
2231,X2-1,59:21.7,NULL,NULL,29,NULL,NULL,X区,展鹿主仓库,0
2244,W2-11,59:21.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2245,W2-18,59:21.8,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2246,W5-6,59:21.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2247,W4-6,59:21.9,NULL,NULL,28,NULL,NULL,W区,展鹿主仓库,0
2280,V-14-09,02:07.3,NULL,NULL,32,NULL,NULL,V区,展鹿主仓库,0
2281,S-04-03,18:57.9,NULL,NULL,26,NULL,NULL,S区,展鹿包场破损仓库,2281
2294,T-12-06,32:03.8,,,23,,,T区,展鹿赠品物料仓库,2294
2295,T-12-04,32:03.8,,,23,,,T区,展鹿赠品物料仓库,2295
2296,T-12-07,32:03.8,,,23,,,T区,展鹿赠品物料仓库,2296
2297,T-12-08,32:03.9,,,23,,,T区,展鹿赠品物料仓库,2297
2311,T-14-07,27:53.2,,,23,,,T区,展鹿赠品物料仓库,0
2312,T-15-01,27:53.2,,,23,,,T区,展鹿赠品物料仓库,2312
2313,T-15-02,27:53.2,,,23,,,T区,展鹿赠品物料仓库,0
2314,T-10-01,NULL,,,23,,,T区,展鹿赠品物料仓库,2314
2328,T-11-06,NULL,,,23,,,T区,展鹿赠品物料仓库,0
2329,T-11-07,NULL,,,23,,,T区,展鹿赠品物料仓库,0
2330,T-11-08,NULL,,,23,,,T区,展鹿赠品物料仓库,0
2331,T-16-04,NULL,,,23,,,T区,展鹿赠品物料仓库,0
2344,T-08-03,30:48.7,,,23,,,T区,展鹿赠品物料仓库,2344
2345,T-09-01,30:48.8,,,23,,,T区,展鹿赠品物料仓库,2345
2346,T-09-02,30:48.8,,,23,,,T区,展鹿赠品物料仓库,2346
2347,T-09-03,30:48.8,,,23,,,T区,展鹿赠品物料仓库,2347
2348,T-09-04,30:48.8,,,23,,,T区,展鹿赠品物料仓库,2348
2361,T-17-02,31:51.6,,,23,,,T区,展鹿赠品物料仓库,0
2362,T-17-03,31:51.6,,,23,,,T区,展鹿赠品物料仓库,0
2363,T-17-04,31:51.6,,,23,,,T区,展鹿赠品物料仓库,0
2364,T-17-05,31:51.6,,,23,,,T区,展鹿赠品物料仓库,0
2380,W02-04,38:06.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2381,X-11-1,02:32.5,,,29,,,X区,展鹿主仓库,0
2395,u-06-02,34:05.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2395
2396,u-06-01,34:05.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2396
2397,u-06-07,34:05.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2397
2398,u-06-08,34:05.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2412,V-02-13,26:52.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2413,X-1-06,47:18.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2414,U-01-02,54:00.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2414
2428,S-02-03,NULL,,,26,,,S区,展鹿包场破损仓库,2428
2429,S-02-04,NULL,,,26,,,S区,展鹿包场破损仓库,2429
2430,S-02-05,NULL,,,26,,,S区,展鹿包场破损仓库,2430
2431,S-03-01,NULL,,,26,,,S区,展鹿包场破损仓库,0
2445,S-05-01,NULL,,,26,,,S区,展鹿包场破损仓库,0
2446,S-05-02,NULL,,,26,,,S区,展鹿包场破损仓库,0
2447,S-05-03,NULL,,,26,,,S区,展鹿包场破损仓库,0
2448,S-05-04,NULL,,,26,,,S区,展鹿包场破损仓库,0
2461,W-16-8,13:46.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2462,W-15-7,13:46.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2463,W-3-18,13:46.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2464,U-8-4,13:46.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2465,U-8-1,13:46.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2478,y-19-02,00:48.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2478
2479,V-0915,19:06.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2480,V-09-14,19:06.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2480
2481,V-09-16,27:13.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2481
2496,S-01-06,39:24.0,,,26,,,S区,展鹿包场破损仓库,2496
2497,V-15-09,37:42.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2498,U-07-08,25:53.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2512,V-15-10,18:53.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2513,V-09-12,18:53.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2513
2514,V-10-12,18:53.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2515,V-14-10,18:53.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2528,V-09-06,NULL,,,32,,,V区,展鹿主仓库,2528
2529,V-09-07,NULL,,,32,,,V区,展鹿主仓库,2529
2530,V-09-08,NULL,,,32,,,V区,展鹿主仓库,2530
2531,V-09-09,NULL,,,32,,,V区,展鹿主仓库,2531
2545,V-30-01,NULL,,,32,,,V区,展鹿主仓库,2545
2546,v-02-14,08:47.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2547,W-08-19,08:47.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2548,V-09-15,NULL,,,32,,,V区,展鹿主仓库,2548
2562,F1-1,46:48.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2562
2563,F1-2,46:48.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2563
2564,F1-3,46:48.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2564
2565,F1-4,46:48.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2565
2578,F1-19,46:48.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2578
2579,F1-20,46:48.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2579
2580,F1-21,46:48.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2580
2581,F1-22,46:48.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2581
2582,F1-23,46:48.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2582
2595,F1-35,21:40.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2595
2596,F1-36,21:40.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2596
2597,F1-37,21:40.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2597
2598,F1-38,21:40.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2598
2612,X-13-08,31:27.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2612
2613,W-1-1,50:28.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2613
2614,W-1-2,50:28.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2614
2615,W-1-3,50:28.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2615
2629,W-2-17,50:28.7,,,28,,,W区,展鹿主仓库,2629
2630,W-2-16,50:28.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2630
2631,W-2-15,50:28.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2631
2632,W-2-14,04:06.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2632
2645,Y-10-3,58:14.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2645
2646,Y-10-4,58:14.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2646
2647,Y-10-5,58:14.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2647
2648,Y-10-6,58:14.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2648
2662,U06-07,24:40.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2662
2663,T-09-06,09:59.2,,,23,,,T区,展鹿赠品物料仓库,2663
2664,T-09-09,09:59.4,,,23,,,T区,展鹿赠品物料仓库,2664
2665,T-12-09,21:31.6,,,23,,,T区,展鹿赠品物料仓库,2665
2679,T-06-07,05:25.4,,,23,,,T区,展鹿赠品物料仓库,2679
2680,T-06-09,05:25.5,,,23,,,T区,展鹿赠品物料仓库,2680
2681,T-06-10,05:25.6,,,23,,,T区,展鹿赠品物料仓库,2681
2682,T-06-11,05:25.6,,,23,,,T区,展鹿赠品物料仓库,2682
2695,L-01-14,NULL,,,34,,,L区,展鹿临期品仓库,0
2696,L-01-15,NULL,,,34,,,L区,展鹿临期品仓库,0
2697,L-01-16,NULL,,,34,,,L区,展鹿临期品仓库,2697
2698,Y--09-03,02:31.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2698
2699,F-1-18,41:51.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2699
2712,T01-02,46:51.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2712
2713,T11-03,46:51.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2713
2714,W--01-18,23:55.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2714
2729,V--09-04,59:40.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2729
2730,Y-20-01,05:44.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2730
2731,W--06-03,02:51.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2731
2732,F-02-26,17:26.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2732
2746,W-12-8,37:44.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2746
2747,lL-01-15,21:50.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2747
2748,W10-04,03:57.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2748
2749,L-01-17,44:18.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2749
2762,W*04-19,42:35.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2762
2763,Y--20-01,01:17.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2763
2764,Z-04-1,21:51.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2764
2765,U-03-07,35:42.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2765
2779,Z--08-01,23:42.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2779
2780,W-4-03,37:35.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2780
2781,W-5-19,46:00.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2781
2782,Y04-03,12:19.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2782
2796,U-09-3,04:32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2796
2797,T-08-14,40:38.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2797
2798,F-02-1,24:08.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2798
2799,Y-23-01,08:33.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2799
2812,Z-08-16,23:47.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2812
2813,W-17-18,22:14.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2813
2814,X-7-07,56:27.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2814
2815,X-18-01,14:47.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2815
2816,Z+12-01,13:58.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2816
2829,U-01-06,NULL,,,NULL,,,NULL,NULL,2829
2830,U-01-08,NULL,,,NULL,,,NULL,NULL,2830
2831,W-16-20,50:43.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2831
772,C-01-10,44:33.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
779,B-07-03,44:38.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
781,C-10-15,44:38.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
786,C-09-18,44:40.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
788,C-10-17,44:41.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
795,C-01-09,44:45.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
797,C-07-01,44:46.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
804,C-02-17,44:50.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
806,C-04-14,44:51.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
811,C-02-05,44:56.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
813,C-02-08,44:59.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
820,A-13-04,45:03.1,NULL,NULL,16,NULL,NULL,NULL,NULL,0
822,A-12-03,45:06.0,NULL,NULL,16,NULL,NULL,NULL,NULL,0
829,C-11-13,45:11.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
831,C-11-06,45:12.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
836,C-11-11,45:14.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
838,C-11-10,45:15.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
845,C-11-03,45:19.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
847,C-11-07,45:21.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
854,C-14-09,45:27.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
856,C-15-10,45:29.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
861,C-15-12,45:35.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
863,A-01-04,45:39.0,NULL,NULL,16,NULL,NULL,NULL,NULL,0
870,A-07-07,45:47.8,NULL,NULL,16,NULL,NULL,NULL,NULL,0
872,E-01-12,45:49.4,NULL,NULL,21,NULL,NULL,NULL,NULL,0
879,A-10-07,45:55.7,NULL,NULL,16,NULL,NULL,NULL,NULL,0
881,A-08-02,45:56.6,NULL,NULL,16,NULL,NULL,NULL,NULL,0
886,A-09-05,45:59.7,NULL,NULL,16,NULL,NULL,NULL,NULL,0
888,A-10-06,46:01.1,NULL,NULL,16,NULL,NULL,NULL,NULL,0
895,A-08-04,46:09.6,NULL,NULL,16,NULL,NULL,NULL,NULL,0
897,A-07-03,46:11.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
904,F-04-05,46:19.3,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
906,F-04-03,46:20.1,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
911,A-05-03,46:24.3,NULL,NULL,16,NULL,NULL,NULL,NULL,0
913,A-05-05,46:26.1,NULL,NULL,16,NULL,NULL,NULL,NULL,0
915,C-08-03,46:34.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
920,B-14-04,46:36.8,NULL,NULL,17,NULL,NULL,NULL,NULL,0
922,D-04-03,46:38.0,NULL,NULL,19,NULL,NULL,NULL,NULL,0
929,B-14-05,46:41.5,NULL,NULL,17,NULL,NULL,NULL,NULL,0
931,C-10-01,46:42.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
936,B-04-03,46:46.9,NULL,NULL,17,NULL,NULL,NULL,NULL,0
938,B-04-05,46:47.9,NULL,NULL,17,NULL,NULL,NULL,NULL,0
940,C-07-14,46:50.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
945,B-05-02,46:52.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
947,B-06-07,46:53.3,NULL,NULL,17,NULL,NULL,NULL,NULL,0
954,C-08-05,46:59.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
956,C-05-09,47:00.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
961,B-05-03,47:03.0,NULL,NULL,17,NULL,NULL,NULL,NULL,0
963,C-07-11,47:03.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
965,C-07-16,47:04.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
970,C-08-17,47:06.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
972,C-07-17,47:06.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
979,F-01-01,47:09.4,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,979
981,F-01-02,47:10.3,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,981
988,F-01-04,47:13.5,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,988
990,D-03-04,47:14.4,NULL,NULL,19,NULL,NULL,NULL,NULL,0
995,D-03-03,47:17.5,NULL,NULL,19,NULL,NULL,NULL,NULL,0
997,F-01-11,47:18.3,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,997
1004,F-01-18,47:23.0,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1004
1006,F-01-21,47:24.5,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1006
1013,D-01-02,47:28.1,NULL,NULL,19,NULL,NULL,NULL,NULL,0
1015,F-01-26,47:29.3,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1015
1020,D-03-06,47:32.5,NULL,NULL,19,NULL,NULL,NULL,NULL,0
1022,F-01-31,47:33.8,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1022
1029,F-01-38,47:38.3,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1029
1031,F-01-39,47:39.8,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1038,F-01-46,47:44.0,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1038
1040,F-01-48,47:44.8,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,1040
1045,F-01-53,47:48.1,NULL,NULL,20,NULL,NULL,F区,展鹿主仓库,0
1047,A-04-06,47:49.5,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1054,C-01-03,47:59.3,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1056,B-07-01,48:00.7,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1063,B-07-07,48:05.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1065,B-09-03,48:06.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1070,D-09-03,48:08.4,NULL,NULL,19,NULL,NULL,NULL,NULL,0
1072,D-10-01,48:10.0,NULL,NULL,19,NULL,NULL,NULL,NULL,0
1079,A-03-02,48:17.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1081,B-01-06,48:20.0,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1088,B-04-01,48:24.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1090,B-03-06,48:25.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1095,B-01-01,48:33.7,NULL,NULL,17,NULL,NULL,NULL,NULL,1095
1097,B-01-04,48:38.5,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1104,C-06-14,48:43.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1106,C-06-13,48:44.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1113,C-08-04,48:49.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1115,C-06-02,48:51.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1120,C-05-11,48:55.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1122,C-07-04,48:56.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1129,E-02-14,49:11.5,NULL,NULL,21,NULL,NULL,NULL,NULL,0
1131,E-02-13,49:13.6,NULL,NULL,21,NULL,NULL,NULL,NULL,0
1138,C-17-11,49:22.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1140,A-03-05,49:26.3,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1145,C-09-05,49:35.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1147,C-09-03,49:36.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1154,C-10-10,49:39.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1156,C-10-11,49:40.8,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1163,A-14-07,49:47.8,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1165,A-01-06,49:51.6,NULL,NULL,16,NULL,NULL,NULL,NULL,0
1170,B-05-07,49:59.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1172,B-05-05,50:00.9,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1174,B-05-04,50:03.3,NULL,NULL,17,NULL,NULL,NULL,NULL,0
1179,C-08-12,50:09.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1181,C-06-01,50:12.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
1188,B-04-15,NULL,,,NULL,,,NULL,NULL,0
1195,D-04-01,14:00.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1197,C-12-16,41:05.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1199,E-01-08,08:39.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
